18:20:54.060 info	serial port 0: COM4
18:20:54.063 debug	serial port 0: {"path":"COM4","manufacturer":"Microsoft","serialNumber":"5&23475B15&0&1","pnpId":"USB\\VID_04D8&PID_F80C\\5&23475B15&0&1","locationId":"Port_#0001.Hub_#0002","friendlyName":"USB Serial Device (COM4)","vendorId":"04D8","productId":"F80C"}
18:20:54.063 info	Finding CANUSBx...
18:20:54.068 info	CANUSB4 : COM4
18:20:54.078 info	Starting cbusServer...

18:20:54.080 info	COM4 Open
18:20:54.082 info	CbusServer Client Connected to Server
18:20:54.083 debug	COM4 Rx 0NAB0384A10000
18:20:54.084 error	message rejected - missing starting character: 0NAB0384A10000;
18:20:54.084 debug	COM4 Rx :S7020NAB0384A20000
18:20:54.086 info	COM4 <- Receive : :S7020NAB0384A20000; HEARTB Opcode AB
18:20:54.086 debug	COM4 Rx :S7020NAB0384A30000
18:20:54.086 info	COM4 <- Receive : :S7020NAB0384A30000; HEARTB Opcode AB
18:20:54.087 debug	COM4 Rx :S7020NAB0384A40000
18:20:54.087 info	COM4 <- Receive : :S7020NAB0384A40000; HEARTB Opcode AB
18:20:54.088 debug	COM4 Rx :S7020NAB0384A50000
18:20:54.088 info	COM4 <- Receive : :S7020NAB0384A50000; HEARTB Opcode AB
18:20:54.088 debug	COM4 Rx :S7020NAB0384A60000
18:20:54.088 info	COM4 <- Receive : :S7020NAB0384A60000; HEARTB Opcode AB
18:20:54.089 debug	COM4 Rx :S7020NAB0384A70000
18:20:54.089 info	COM4 <- Receive : :S7020NAB0384A70000; HEARTB Opcode AB
18:20:54.089 debug	COM4 Rx :S7020NAB0384A80000
18:20:54.089 info	COM4 <- Receive : :S7020NAB0384A80000; HEARTB Opcode AB
18:20:54.090 debug	COM4 Rx :S7020NAB0384B60000
18:20:54.090 info	COM4 <- Receive : :S7020NAB0384B60000; HEARTB Opcode AB
18:20:54.091 info	Client Connected to COM4
18:20:54.982 debug	COM4 Rx :S7020NAB0384B70000
18:20:54.983 info	COM4 <- Receive : :S7020NAB0384B70000; HEARTB Opcode AB
18:20:56.095 info	socketServer: checkLayoutExists: Default Directory exists
18:20:56.097 debug	socketServer: nodeConfig:  file exists
18:20:56.097 debug	socketServer: layoutDetails:  file exists
18:20:56.099 info	mergAdminNode: Config = ./device_hub/config/Default/nodeConfig.json
18:20:56.101 info	mergAdminNode: Save Config : 
18:20:56.103 info	mergAdminNode: QNN 
18:20:56.105 info	mergAdminNode: Save Config : 
18:20:56.118 info	CbusServer Client Connected to Server
18:20:56.118 info	JSON Server: Connected to localhost on 5550
18:20:56.120 info	jsonServer: Client Connected
18:20:56.121 info	mergAdminNode: Connected - localhost on 5551
18:20:56.123 info	jsonServer: Data Received : {"mnemonic":"QNN"}
18:20:56.124 info	jsonServer: broadcast : {"mnemonic":"QNN"} 
18:20:56.133 info	socketServer:  a user connected
18:20:56.134 info	mergAdminNode: QNN 
18:20:56.134 info	mergAdminNode: Save Config : 
18:20:56.136 info	socketServer: Nodes Sent
18:20:56.137 debug	socketServer: Nodes Sent :{}
18:20:56.143 info	jsonServer: Data Received : {"mnemonic":"QNN"}
18:20:56.144 info	jsonServer: broadcast : {"mnemonic":"QNN"} 
18:20:56.146 info	COM4 -> Transmit : :SB780N0D; QNN Opcode 0D
18:20:56.147 debug	COM4 Tx :SB780N0D;
18:20:56.150 info	COM4 -> Transmit : :SB780N0D; QNN Opcode 0D
18:20:56.151 debug	COM4 Tx :SB780N0D;
18:20:56.152 debug	COM4 Rx :S6020NB60384FA0116
18:20:56.152 info	COM4 <- Receive : :S6020NB60384FA0116; PNN Opcode B6
18:20:56.155 debug	mergAdminNode: CBUS Receive >>>  {"encoded":":S6020NB60384FA0116","ID_TYPE":"S","mnemonic":"PNN","opCode":"B6","nodeNumber":900,"manufacturerId":250,"moduleId":1,"flags":22,"text":"PNN (B6) Node 900 Manufacturer Id 250 Module Id 1 Flags 22"}
